"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes";"Numero";"DuracaoN";"AvaliaçoesN"
"Antes do Pôr do Sol";"2004";"12";"1h 20m";"8.1";" (303 mil)";"228";"80";"303000.0"
"O Exorcista";"1973";"14";"2h 2m";"8.1";" (478 mil)";"229";"122";"478000.0"
"A Noviça Rebelde";"1965";"0";"2h 52m";"8.1";" (277 mil)";"230";"172";"277000.0"
"O Martírio de Joana D'Arc";"1928";"14";"1h 50m";"8.1";" (65 mil)";"231";"110";"65000.0"
"O Mágico de Oz";"1939";"0";"1h 42m";"8.1";" (451 mil)";"232";"102";"451000.0"
"Os Incríveis";"2004";"0";"1h 55m";"8.0";" (856 mil)";"233";"115";"856000.0"
"Sempre ao Seu Lado";"2009";"0";"1h 33m";"8.1";" (329 mil)";"234";"93";"329000.0"
"Rush: No Limite da Emoção";"2013";"14";"2h 3m";"8.1";" (535 mil)";"235";"123";"535000.0"
"Conta Comigo";"1986";"12";"1h 29m";"8.1";" (465 mil)";"236";"89";"465000.0"
"Meu Pai e Meu Filho";"2005";"0";"1h 52m";"8.2";" (98 mil)";"237";"112";"98000.0"
"Rede de Intrigas";"1976";"14";"2h 1m";"8.1";" (179 mil)";"238";"121";"179000.0"
"O Gigante de Ferro";"1999";"0";"1h 26m";"8.1";" (245 mil)";"239";"86";"245000.0"
"A Criada";"2016";"18";"2h 25m";"8.1";" (189 mil)";"240";"145";"189000.0"
"A Voz do Silêncio";"2016";"14";"2h 10m";"8.1";" (121 mil)";"241";"130";"121000.0"
"Ser ou Não Ser";"1942";"0";"1h 39m";"8.1";" (47 mil)";"242";"99";"47000.0"
"A Batalha de Argel";"1966";"14";"2h 1m";"8.1";" (71 mil)";"243";"121";"71000.0"
"As Vinhas da Ira";"1940";"12";"2h 9m";"8.1";" (105 mil)";"244";"129";"105000.0"
"Na Natureza Selvagem";"2007";"12";"2h 28m";"8.0";" (680 mil)";"245";"148";"680000.0"
"Feitiço do Tempo";"1993";"12";"1h 41m";"8.0";" (717 mil)";"246";"101";"717000.0"
"Histórias Cruzadas";"2011";"12";"2h 26m";"8.1";" (513 mil)";"247";"146";"513000.0"
"Amores Brutos";"2000";"16";"2h 34m";"8.0";" (268 mil)";"248";"154";"268000.0"
"A Chantagem";"2015";"0";"2h 43m";"8.2";" (101 mil)";"249";"163";"101000.0"
"Rebecca, a Mulher Inesquecível";"1940";"12";"2h 10m";"8.1";" (159 mil)";"250";"130";"159000.0"
