"Nome";"Ano";"Classificacao";"Duracao";"Nota";"Avaliaçoes"
"182. Mad Max: Estrada da Fúria";"2015";"16";"2h";"8,1";" (1,2 mi)"
"183. Meu Amigo Totoro";"1988";"0";"1h 26m";"8,1";" (408 mil)"
"184. Barry Lyndon";"1975";"0";"3h 5m";"8,1";" (194 mil)"
"185. Homem-Aranha: Sem Volta para Casa";"2021";"12";"2h 28m";"8,2";" (954 mil)"
"186. Sociedade dos Poetas Mortos";"1989";"12";"2h 8m";"8,1";" (592 mil)"
"187. Filhos do Paraíso";"1997";"0";"1h 29m";"8,2";" (86 mil)"
"188. 12 Anos de Escravidão";"2013";"14";"2h 14m";"8,1";" (765 mil)"
"189. Antes do Amanhecer";"1995";"12";"1h 41m";"8,1";" (360 mil)"
"190. O Grande Hotel Budapeste";"2014";"14";"1h 39m";"8,1";" (928 mil)"
"191. Até o Último Homem";"2016";"16";"2h 19m";"8,1";" (639 mil)"
"192. Blade Runner: O Caçador de Andróides";"1982";"14";"1h 57m";"8,1";" (855 mil)"
"193. Garota Exemplar";"2014";"14";"2h 29m";"8,1";" (1,1 mi)"
"194. Memórias de um Assassino";"2003";"14";"2h 11m";"8,1";" (242 mil)"
"195. Ratatouille";"2007";"0";"1h 51m";"8,1";" (887 mil)"
"196. Monstros S.A.";"2001";"0";"1h 32m";"8,1";" (1 mi)"
"197. Em Nome do Pai";"1993";"16";"2h 13m";"8,1";" (196 mil)"
"198. Como Treinar o Seu Dragão";"2010";"0";"1h 38m";"8,1";" (845 mil)"
"199. Relatos Selvagens";"2014";"14";"2h 2m";"8,1";" (229 mil)"
"200. Em Busca do Ouro";"1925";"0";"1h 35m";"8,1";" (124 mil)"
"201. Bancando o Águia";"1924";"0";"45m";"8,2";" (62 mil)"
"202. Tubarão";"1975";"14";"2h 4m";"8,1";" (695 mil)"
"203. Mary e Max - Uma Amizade Diferente";"2009";"12";"1h 32m";"8,1";" (196 mil)"
"204. O Franco Atirador";"1978";"18";"3h 3m";"8,1";" (376 mil)"
"205. Ford vs. Ferrari";"2019";"12";"2h 32m";"8,1";" (524 mil)"
"206. A General";"1926";"0";"1h 18m";"8,1";" (103 mil)"
"207. O Salário do Medo";"1953";"16";"2h 36m";"8,1";" (71 mil)"
